Shares,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Value,tic
9849,,Sale at price 157.27 per share.,PRITCHARD MARC S,Officer,,2025-08-19,D,1548990.0,PG
40119,,Sale at price 157.27 per share.,MOELLER JON R,Chief Executive Officer,,2025-08-19,D,6309668.0,PG
21518,,Stock Award(Grant) at price 0.00 per share.,DAVIS JENNIFER L,Officer,,2025-08-18,D,0.0,PG
15811,,Stock Award(Grant) at price 0.00 per share.,WHALEY SUSAN STREET,Officer,,2025-08-18,D,0.0,PG
2019,,Stock Award(Grant) at price 0.00 per share.,PURUSHOTHAMAN BALAJI,Officer,,2025-08-18,D,0.0,PG
25816,,Stock Award(Grant) at price 0.00 per share.,KEITH R ALEXANDRA,Officer,,2025-08-18,D/I,0.0,PG
31025,,Stock Award(Grant) at price 0.00 per share.,JEJURIKAR SHAILESH,Chief Operating Officer,,2025-08-18,D,0.0,PG
22649,,Stock Award(Grant) at price 0.00 per share.,FRANCISCO MA. FATIMA,Officer,,2025-08-18,D,0.0,PG
27924,,Stock Award(Grant) at price 0.00 per share.,SCHULTEN ANDRE,Chief Financial Officer,,2025-08-18,D,0.0,PG
21518,,Stock Award(Grant) at price 0.00 per share.,RAMAN SUNDAR G.,Officer,,2025-08-18,D,0.0,PG
1044,,Stock Award(Grant) at price 0.00 per share.,JANZARUK MATTHEW W.,Officer,,2025-08-18,D,0.0,PG
18963,,Stock Award(Grant) at price 0.00 per share.,PRITCHARD MARC S,Officer,,2025-08-18,D,0.0,PG
89970,,Stock Award(Grant) at price 0.00 per share.,MOELLER JON R,Chief Executive Officer,,2025-08-18,D,0.0,PG
22959,,Stock Award(Grant) at price 0.00 per share.,COOMBE GARY A,Officer,,2025-08-18,D,0.0,PG
361,,Stock Award(Grant) at price 0.00 per share.,KEITH R ALEXANDRA,Officer,,2025-08-07,I,0.0,PG
245,,Stock Award(Grant) at price 0.00 per share.,JANZARUK MATTHEW W.,Officer,,2025-08-07,D,0.0,PG
47,,Stock Award(Grant) at price 0.00 per share.,PORTMAN ROBERT JONES,Director,,2025-06-10,D,0.0,PG
185,,Stock Award(Grant) at price 0.00 per share.,MCEVOY ASHLEY,Director,,2025-06-10,D,0.0,PG
185,,Stock Award(Grant) at price 0.00 per share.,KEMPCZINSKI CHRISTOPHER J,Director,,2025-06-10,D,0.0,PG
292,,Stock Award(Grant) at price 0.00 per share.,JIMENEZ JOSEPH JR,Director,,2025-06-10,D,0.0,PG
511,,Stock Award(Grant) at price 0.00 per share.,ARNOLD CRAIG,Director,,2025-06-10,D,0.0,PG
231,,Stock Award(Grant) at price 0.00 per share.,MCCARTHY CHRISTINE M.,Director,,2025-06-10,D,0.0,PG
223,,Stock Award(Grant) at price 0.00 per share.,LUNDGREN TERRY J,Director,,2025-06-10,D,0.0,PG
185,,Stock Award(Grant) at price 0.00 per share.,WOERTZ PATRICIA A,Director,,2025-06-10,D,0.0,PG
10520,,Sale at price 158.67 per share.,AGUILAR MOSES VICTOR JAVIER,Officer,,2025-05-05,D,1669200.0,PG
10520,,Conversion of Exercise of derivative security at price 80.29 per share.,AGUILAR MOSES VICTOR JAVIER,Officer,,2025-05-05,D,844651.0,PG
1000,,Sale at price 161.38 per share.,DAVIS JENNIFER L,Officer,,2025-04-29,D,161384.0,PG
44,,Stock Award(Grant) at price 0.00 per share.,PORTMAN ROBERT JONES,Director,,2025-03-11,D,0.0,PG
145,,Stock Award(Grant) at price 0.00 per share.,MCEVOY ASHLEY,Director,,2025-03-11,D,0.0,PG
145,,Stock Award(Grant) at price 0.00 per share.,KEMPCZINSKI CHRISTOPHER J,Director,,2025-03-11,D,0.0,PG
246,,Stock Award(Grant) at price 0.00 per share.,JIMENEZ JOSEPH JR,Director,,2025-03-11,D,0.0,PG
188,,Stock Award(Grant) at price 0.00 per share.,MCCARTHY CHRISTINE M.,Director,,2025-03-11,D,0.0,PG
181,,Stock Award(Grant) at price 0.00 per share.,LUNDGREN TERRY J,Director,,2025-03-11,D,0.0,PG
145,,Stock Award(Grant) at price 0.00 per share.,WOERTZ PATRICIA A,Director,,2025-03-11,D,0.0,PG
35000,,Sale at price 173.68 per share.,COOMBE GARY A,Officer,,2025-02-28,D,6078653.0,PG
35000,,Conversion of Exercise of derivative security at price 78.52 per share.,COOMBE GARY A,Officer,,2025-02-28,D,2748200.0,PG
18000,,Sale at price 171.66 per share.,COOMBE GARY A,Officer,,2025-02-25,D,3089880.0,PG
90450,,Sale at price 163.84 per share.,PRITCHARD MARC S,Officer,,2025-01-23,D,14819030.0,PG
90450,,Conversion of Exercise of derivative security at price 85.13 per share.,PRITCHARD MARC S,Officer,,2025-01-23,D,7700008.0,PG
46,,,DAVIS JENNIFER L,Officer,,2024-12-19,D,,PG
35,,,WHALEY SUSAN STREET,Officer,,2024-12-19,D,,PG
31,,,PURUSHOTHAMAN BALAJI,Officer,,2024-12-19,D,,PG
46,,,JEJURIKAR SHAILESH,Chief Operating Officer,,2024-12-19,D,,PG
58,,,FRANCISCO MA. FATIMA,Officer,,2024-12-19,D,,PG
39,,,AGUILAR MOSES VICTOR JAVIER,Officer,,2024-12-19,D,,PG
70,,,SCHULTEN ANDRE,Chief Financial Officer,,2024-12-19,D,,PG
78,,,RAMAN SUNDAR G.,Officer,,2024-12-19,D,,PG
77,,,PRITCHARD MARC S,Officer,,2024-12-19,D,,PG
138,,,MOELLER JON R,Chief Executive Officer,,2024-12-19,D,,PG
44,,Stock Award(Grant) at price 0.00 per share.,PORTMAN ROBERT JONES,Director,,2024-12-10,D,0.0,PG
175,,Stock Award(Grant) at price 0.00 per share.,MCEVOY ASHLEY,Director,,2024-12-10,D,0.0,PG
175,,Stock Award(Grant) at price 0.00 per share.,ALLEN BERTRAND MARC,Director,,2024-12-10,D,0.0,PG
175,,Stock Award(Grant) at price 0.00 per share.,BIGGS M BRETT,Director,,2024-12-10,D,0.0,PG
175,,Stock Award(Grant) at price 0.00 per share.,KEMPCZINSKI CHRISTOPHER J,Director,,2024-12-10,D,0.0,PG
276,,Stock Award(Grant) at price 0.00 per share.,JIMENEZ JOSEPH JR,Director,,2024-12-10,D,0.0,PG
218,,Stock Award(Grant) at price 0.00 per share.,MCCARTHY CHRISTINE M.,Director,,2024-12-10,D,0.0,PG
211,,Stock Award(Grant) at price 0.00 per share.,LUNDGREN TERRY J,Director,,2024-12-10,D,0.0,PG
175,,Stock Award(Grant) at price 0.00 per share.,WOERTZ PATRICIA A,Director,,2024-12-10,D,0.0,PG
47847,,Sale at price 179.84 per share.,COOMBE GARY A,Officer,,2024-11-27,D,8604685.0,PG
47847,,Conversion of Exercise of derivative security at price 91.07 per share.,COOMBE GARY A,Officer,,2024-11-27,D,4357426.0,PG
12800,,Sale at price 172.73 per share.,PURUSHOTHAMAN BALAJI,Officer,,2024-11-21,D,2210972.0,PG
12800,,Conversion of Exercise of derivative security at price 91.07 per share.,PURUSHOTHAMAN BALAJI,Officer,,2024-11-21,D,1165696.0,PG
16000,,Sale at price 135.70 - 142.41 per share.,MOORE ALEXANDER D,Director,,2026-04-15,D,2230580.0,PLTR
16000,,Sale at price 151.99 - 153.51 per share.,MOORE ALEXANDER D,Director,,2026-03-16,D,2438623.0,PLTR
2000000,,Sale at price 140.97 - 146.80 per share.,THIEL PETER A. J.D.,Director,,2026-03-02,I,289707507.0,PLTR
7000,,Stock Gift at price 0.00 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2026-02-26,I,0.0,PLTR
3936,,Sale at price 129.08 - 135.73 per share.,BUCKLEY JEFFREY JOHANSING,Officer,,2026-02-24,D,520601.0,PLTR
327088,,Sale at price 132.03 - 135.73 per share.,COHEN STEPHEN ANDREW,President,,2026-02-20,D,43737696.0,PLTR
327088,,,COHEN STEPHEN ANDREW,President,,2026-02-20,D,,PLTR
17438,,Sale at price 132.03 - 135.73 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2026-02-20,D,2331782.0,PLTR
19988,,Sale at price 132.03 - 135.73 per share.,TAYLOR RYAN DOUGLAS,Officer,,2026-02-20,D,2672765.0,PLTR
168004,,Sale at price 132.03 - 135.73 per share.,SANKAR SHYAM,Chief Technology Officer,,2026-02-20,D,22465231.0,PLTR
168004,,,SANKAR SHYAM,Chief Technology Officer,,2026-02-20,D,,PLTR
493025,,Sale at price 132.01 - 135.73 per share.,KARP ALEXANDER C.,Chief Executive Officer,,2026-02-20,D,65955988.0,PLTR
493025,,,KARP ALEXANDER C.,Chief Executive Officer,,2026-02-20,D,,PLTR
400,,Sale at price 151.14 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2026-02-02,D,60456.0,PLTR
20000,,Sale at price 147.45 - 150.92 per share.,MOORE ALEXANDER D,Director,,2026-02-02,D,2992984.0,PLTR
3400,,Sale at price 181.35 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2026-01-02,D,616590.0,PLTR
20000,,Sale at price 167.30 - 181.04 per share.,MOORE ALEXANDER D,Director,,2026-01-02,D,3459615.0,PLTR
12000,,Sale at price 181.35 per share.,TAYLOR RYAN DOUGLAS,Officer,,2026-01-02,D,2176200.0,PLTR
3831,,Stock Gift at price 0.00 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-12-12,D,0.0,PLTR
9000,,Sale at price 185.91 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-12-12,D,1673190.0,PLTR
9000,,Conversion of Exercise of derivative security at price 4.72 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-12-12,D,42480.0,PLTR
20000,,Sale at price 164.09 - 168.39 per share.,MOORE ALEXANDER D,Director,,2025-12-01,D,3343833.0,PLTR
3917,,Sale at price 153.43 - 173.41 per share.,BUCKLEY JEFFREY JOHANSING,Officer,,2025-11-24,D,631898.0,PLTR
56061,,Sale at price 153.43 - 173.41 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-11-24,D,9117228.0,PLTR
347771,,Sale at price 153.43 - 173.41 per share.,COHEN STEPHEN ANDREW,President,,2025-11-21,D,56726864.0,PLTR
347771,,,COHEN STEPHEN ANDREW,President,,2025-11-21,D,,PLTR
17530,,Sale at price 153.43 - 173.41 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-11-21,D,2859408.0,PLTR
168876,,Sale at price 153.43 - 173.41 per share.,SANKAR SHYAM,Chief Technology Officer,,2025-11-21,D,27546303.0,PLTR
168876,,,SANKAR SHYAM,Chief Technology Officer,,2025-11-21,D,,PLTR
404889,,Sale at price 153.43 - 173.41 per share.,KARP ALEXANDER C.,Chief Executive Officer,,2025-11-21,D,66043701.0,PLTR
404889,,,KARP ALEXANDER C.,Chief Executive Officer,,2025-11-21,D,,PLTR
20000,,Sale at price 202.63 - 206.60 per share.,MOORE ALEXANDER D,Director,,2025-11-03,D,4090887.0,PLTR
800,,Sale at price 186.39 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2025-10-03,D,149112.0,PLTR
20000,,Sale at price 180.43 - 186.27 per share.,MOORE ALEXANDER D,Director,,2025-10-01,D,3680225.0,PLTR
9000,,Sale at price 177.60 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2025-09-18,I,1598400.0,PLTR
21000,,Sale at price 164.26 - 167.25 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2025-09-11,I,3484866.0,PLTR
36048,,Sale at price 158.35 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-09-05,D,5708057.0,PLTR
60000,,Stock Gift at price 0.00 per share.,SANKAR SHYAM,Chief Technology Officer,,2025-09-04,D,0.0,PLTR
20000,,Sale at price 151.56 - 157.68 per share.,MOORE ALEXANDER D,Director,,2025-09-02,D,3128318.0,PLTR
81000,,Sale at price 150.85 - 158.08 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-09-02,D,12511782.0,PLTR
37770,,Conversion of Exercise of derivative security at price 4.72 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-09-02,D,178274.0,PLTR
2803,,Sale at price 157.00 per share.,BUCKLEY JEFFREY JOHANSING,Officer,,2025-08-29,D,440071.0,PLTR
200861,,Sale at price 143.12 - 162.56 per share.,SANKAR SHYAM,Chief Technology Officer,,2025-08-22,D,30990248.0,PLTR
200861,,,SANKAR SHYAM,Chief Technology Officer,,2025-08-22,D,,PLTR
351884,,Sale at price 143.12 - 157.18 per share.,COHEN STEPHEN ANDREW,President,,2025-08-21,D,53966068.0,PLTR
351884,,,COHEN STEPHEN ANDREW,President,,2025-08-21,D,,PLTR
17680,,Sale at price 143.12 - 157.18 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-08-21,D,2711464.0,PLTR
2365,,Sale at price 143.12 - 157.18 per share.,BUCKLEY JEFFREY JOHANSING,Officer,,2025-08-21,D,362700.0,PLTR
20237,,Sale at price 143.12 - 157.18 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-08-21,D,3103617.0,PLTR
409072,,Sale at price 143.12 - 157.18 per share.,KARP ALEXANDER C.,Chief Executive Officer,,2025-08-21,D,62736619.0,PLTR
409072,,,KARP ALEXANDER C.,Chief Executive Officer,,2025-08-21,D,,PLTR
375000,,Sale at price 143.04 - 156.02 per share.,SANKAR SHYAM,Chief Technology Officer,,2025-08-20,D,56699646.0,PLTR
375000,,,SANKAR SHYAM,Chief Technology Officer,,2025-08-20,D,,PLTR
30000,,Sale at price 175.00 per share.,TAYLOR RYAN DOUGLAS,Officer and Beneficial Owner of more than 10% of a Class of Security,,2025-08-05,D,5250000.0,PLTR
30000,,,TAYLOR RYAN DOUGLAS,Officer and Beneficial Owner of more than 10% of a Class of Security,,2025-08-05,D,,PLTR
20000,,Sale at price 151.78 - 157.72 per share.,MOORE ALEXANDER D,Director,,2025-08-01,D,3094523.0,PLTR
33335,,Sale at price 150.00 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-07-15,D,5000250.0,PLTR
33335,,Conversion of Exercise of derivative security at price 4.72 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-07-15,D,157341.0,PLTR
800,,Sale at price 139.61 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2025-07-09,D,111688.0,PLTR
10214,,Sale at price 129.32 - 135.34 per share.,WOERSCHING ERIC H,Director,,2025-07-01,D,1337545.0,PLTR
20000,,Sale at price 129.40 - 136.19 per share.,MOORE ALEXANDER D,Director,,2025-07-01,D,2621113.0,PLTR
33335,,Sale at price 135.31 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-07-01,D,4510452.0,PLTR
33335,,Conversion of Exercise of derivative security at price 4.72 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-07-01,D,157341.0,PLTR
21850,,Stock Award(Grant) at price 0.00 per share.,BUCKLEY JEFFREY JOHANSING,Officer,,2025-06-20,D,0.0,PLTR
7335,,Stock Gift at price 0.00 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2025-06-12,I,0.0,PLTR
405000,,Sale at price 130.12 - 133.73 per share.,SANKAR SHYAM,Officer,,2025-06-10,D,53490923.0,PLTR
405000,,,SANKAR SHYAM,Officer,,2025-06-10,D,,PLTR
17000,,Sale at price 125.24 - 131.70 per share.,WOERSCHING ERIC H,Director,,2025-06-09,D,2197986.0,PLTR
2348,,Stock Award(Grant) at price 0.00 per share.,WOERSCHING ERIC H,Director,,2025-06-06,D,0.0,PLTR
2348,,Stock Award(Grant) at price 0.00 per share.,MOORE ALEXANDER D,Director,,2025-06-06,D,0.0,PLTR
20000,,Sale at price 122.65 - 127.69 per share.,MOORE ALEXANDER D,Director,,2025-06-06,D,2507592.0,PLTR
2348,,Stock Award(Grant) at price 0.00 per share.,SCHIFF ALEXANDRA W,Director,,2025-06-06,D,0.0,PLTR
2348,,Stock Award(Grant) at price 0.00 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2025-06-06,D,0.0,PLTR
344053,,Sale at price 125.26 - 127.71 per share.,COHEN STEPHEN ANDREW,President,,2025-05-21,D,43471357.0,PLTR
344053,,,COHEN STEPHEN ANDREW,President,,2025-05-21,D,,PLTR
34230,,Sale at price 125.26 - 127.71 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-05-21,D,4324987.0,PLTR
1897,,Sale at price 125.26 - 127.71 per share.,BUCKLEY JEFFREY JOHANSING,Officer,,2025-05-21,D,239689.0,PLTR
39416,,Sale at price 125.26 - 127.71 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-05-21,D,4980241.0,PLTR
167545,,Sale at price 125.26 - 127.71 per share.,SANKAR SHYAM,Officer,,2025-05-21,D,21169439.0,PLTR
167545,,,SANKAR SHYAM,Officer,,2025-05-21,D,,PLTR
398807,,Sale at price 125.26 - 127.71 per share.,KARP ALEXANDER C.,Chief Executive Officer,,2025-05-21,D,50389568.0,PLTR
398807,,,KARP ALEXANDER C.,Chief Executive Officer,,2025-05-21,D,,PLTR
1603,,Stock Gift at price 0.00 per share.,WOERSCHING ERIC H,Director,,2025-05-12,D,0.0,PLTR
10000,,Purchase at price 116.14 per share.,PLANISHEK HEATHER A,Former,,2025-05-08,D,1161400.0,PLTR
20000,,Sale at price 117.93 - 119.49 per share.,MOORE ALEXANDER D,Director,,2025-05-01,D,2371690.0,PLTR
800,,Sale at price 81.25 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2025-04-03,D,65000.0,PLTR
20000,,Sale at price 82.73 - 85.18 per share.,MOORE ALEXANDER D,Director,,2025-04-01,D,1676580.0,PLTR
98177,,Sale at price 79.43 - 84.26 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-03-31,D,8129081.0,PLTR
98177,,,TAYLOR RYAN DOUGLAS,Officer,,2025-03-31,D,,PLTR
36176,,Stock Award(Grant) at price 0.00 per share.,BUCKLEY JEFFREY JOHANSING,Officer,,2025-03-24,D,0.0,PLTR
310000,,Sale at price 85.18 - 88.63 per share.,COHEN STEPHEN ANDREW,President,,2025-03-17,D,26991578.0,PLTR
310000,,,COHEN STEPHEN ANDREW,President,,2025-03-17,D,,PLTR
3750000,,Sale at price 79.06 - 86.64 per share.,COHEN STEPHEN ANDREW,President,,2025-03-14,D,310248337.0,PLTR
3750000,,,COHEN STEPHEN ANDREW,President,,2025-03-14,D,,PLTR
1000,,Stock Gift at price 0.00 per share.,WOERSCHING ERIC H,Director,,2025-03-07,D,0.0,PLTR
6776,,Sale at price 83.42 - 90.13 per share.,SCHIFF ALEXANDRA W,Director,,2025-03-05,D,587010.0,PLTR
20000,,Sale at price 83.10 - 90.21 per share.,MOORE ALEXANDER D,Director,,2025-03-03,D,1743735.0,PLTR
211024,,Sale at price 90.27 - 108.28 per share.,SANKAR SHYAM,Chief Technology Officer,,2025-02-24,D,21419899.0,PLTR
211024,,,SANKAR SHYAM,Chief Technology Officer,,2025-02-24,D,,PLTR
22405,,Sale at price 96.43 - 108.28 per share.,PLANISHEK HEATHER A,Officer,,2025-02-21,D,2307897.0,PLTR
675000,,Sale at price 96.43 - 108.28 per share.,COHEN STEPHEN ANDREW,President,,2025-02-21,D,69269088.0,PLTR
675000,,,COHEN STEPHEN ANDREW,President,,2025-02-21,D,,PLTR
432565,,Sale at price 96.43 - 108.28 per share.,KARP ALEXANDER C.,Chief Executive Officer,,2025-02-21,D,44557681.0,PLTR
432565,,,KARP ALEXANDER C.,Chief Executive Officer,,2025-02-21,D,,PLTR
232898,,Stock Award(Grant) at price 0.00 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-02-20,D,0.0,PLTR
232898,,Stock Award(Grant) at price 0.00 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-02-20,D,0.0,PLTR
375000,,Sale at price 96.40 - 107.20 per share.,SANKAR SHYAM,Chief Technology Officer,,2025-02-20,D,38426081.0,PLTR
375000,,,SANKAR SHYAM,Chief Technology Officer,,2025-02-20,D,,PLTR
13891,,Sale at price 113.03 - 118.22 per share.,PLANISHEK HEATHER A,Officer,,2025-02-11,D,1610745.0,PLTR
4000,,Sale at price 101.62 - 106.06 per share.,SCHIFF ALEXANDRA W,Director,,2025-02-04,D,415318.0,PLTR
11794,,Sale at price 102.80 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2025-02-04,I,1212423.0,PLTR
20000,,Sale at price 79.24 - 84.02 per share.,MOORE ALEXANDER D,Director,,2025-02-03,D,1629103.0,PLTR
4000,,Sale at price 70.23 - 75.16 per share.,SCHIFF ALEXANDRA W,Director,,2025-01-07,D,286540.0,PLTR
20000,,Sale at price 73.15 - 75.85 per share.,MOORE ALEXANDER D,Director,,2025-01-02,D,1490101.0,PLTR
96273,,Sale at price 72.83 - 75.96 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-01-02,D,7024559.0,PLTR
96273,,Conversion of Exercise of derivative security at price 4.72 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2025-01-02,D,454409.0,PLTR
1800,,Sale at price 76.29 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2025-01-02,D/I,137322.0,PLTR
483987,,Sale at price 73.11 - 75.78 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-01-02,D,36046086.0,PLTR
400000,,Conversion of Exercise of derivative security at price 4.72 per share.,TAYLOR RYAN DOUGLAS,Officer,,2025-01-02,D,1888000.0,PLTR
1316053,,Sale at price 68.83 - 75.85 per share.,COHEN STEPHEN ANDREW,President,,2024-12-13,D,95838067.0,PLTR
1316053,,,COHEN STEPHEN ANDREW,President,,2024-12-13,D,,PLTR
315126,,Sale at price 72.63 - 75.19 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2024-12-12,D,23099147.0,PLTR
315126,,Conversion of Exercise of derivative security at price 4.72 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2024-12-12,D,1487395.0,PLTR
50000,,Stock Gift at price 0.00 per share.,SANKAR SHYAM,Chief Technology Officer,,2024-12-11,D,0.0,PLTR
10721,,Sale at price 76.78 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2024-12-06,I,823158.0,PLTR
13891,,Sale at price 68.26 - 70.89 per share.,PLANISHEK HEATHER A,Officer,,2024-12-04,D,963826.0,PLTR
5280000,,Sale at price 66.56 - 70.08 per share.,SANKAR SHYAM,Chief Technology Officer,,2024-12-03,D,369908300.0,PLTR
5280000,,,SANKAR SHYAM,Chief Technology Officer,,2024-12-03,D,,PLTR
20000,,Sale at price 66.63 - 67.29 per share.,MOORE ALEXANDER D,Director,,2024-12-02,D,1334308.0,PLTR
9746,,Sale at price 66.77 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2024-11-25,I,650740.0,PLTR
2507329,,Sale at price 60.68 - 63.98 per share.,KARP ALEXANDER C.,Chief Executive Officer,,2024-11-22,D,157860428.0,PLTR
2507329,,,KARP ALEXANDER C.,Chief Executive Officer,,2024-11-22,D,,PLTR
22218,,Sale at price 60.68 - 63.07 per share.,PLANISHEK HEATHER A,Officer,,2024-11-21,D,1373027.0,PLTR
348809,,Sale at price 60.68 - 63.07 per share.,COHEN STEPHEN ANDREW,President,,2024-11-21,D,21555678.0,PLTR
348809,,,COHEN STEPHEN ANDREW,President,,2024-11-21,D,,PLTR
66785,,Sale at price 60.68 - 63.07 per share.,GLAZER DAVID ALAN,Chief Financial Officer,,2024-11-21,D,4127176.0,PLTR
77109,,Sale at price 60.68 - 63.07 per share.,TAYLOR RYAN DOUGLAS,Officer,,2024-11-21,D,4765179.0,PLTR
169017,,Sale at price 60.68 - 63.07 per share.,SANKAR SHYAM,Chief Technology Officer,,2024-11-21,D,10444904.0,PLTR
169017,,,SANKAR SHYAM,Chief Technology Officer,,2024-11-21,D,,PLTR
1144069,,Sale at price 63.00 - 64.44 per share.,KARP ALEXANDER C.,Officer and Director,,2024-11-20,D,73044303.0,PLTR
1144069,,,KARP ALEXANDER C.,Officer and Director,,2024-11-20,D,,PLTR
6323602,,Sale at price 63.10 - 63.12 per share.,KARP ALEXANDER C.,Chief Executive Officer,,2024-11-15,D,399064043.0,PLTR
6323602,,,KARP ALEXANDER C.,Chief Executive Officer,,2024-11-15,D,,PLTR
8860,,Sale at price 58.06 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2024-11-08,I,514412.0,PLTR
12343707,,Sale at price 47.49 - 56.12 per share.,KARP ALEXANDER C.,Chief Executive Officer,,2024-11-07,D,650638388.0,PLTR
12343707,,,KARP ALEXANDER C.,Chief Executive Officer,,2024-11-07,D,,PLTR
20000,,Sale at price 49.96 per share.,PLANISHEK HEATHER A,Officer,,2024-11-05,D,999250.0,PLTR
20000,,Conversion of Exercise of derivative security at price 4.72 per share.,PLANISHEK HEATHER A,Officer,,2024-11-05,D,94400.0,PLTR
8054,,Sale at price 50.49 per share.,STAT LAUREN ELAINA FRIEDMAN,Director,,2024-11-05,I,406646.0,PLTR
20000,,Sale at price 42.12 per share.,MOORE ALEXANDER D,Director,,2024-11-01,D,842318.0,PLTR
8589,,,SCOTTI DIEGO,Officer,,2026-04-15,D,,PYPL
8522,,,WEBSTER AARON JAMES,Officer,,2026-04-15,D,,PYPL
2726,,,NATALI CHRIS,Officer,,2026-04-15,D,,PYPL
1639,,,KELLER FRANK,Officer,,2026-04-15,D,,PYPL
1210,,Stock Award(Grant) at price 0.00 per share.,HENRY ALYSSA,Director,,2026-03-25,D,0.0,PYPL
12005,,,MILLER JAMIE S,Chief Operating Officer,,2026-03-13,D,,PYPL
12005,,,GILL MICHELLE,Officer,,2026-03-13,D,,PYPL
13515,,Sale at price 45.18 - 46.80 per share.,KEREERE SUZAN,Officer,,2026-03-03,D,621984.0,PYPL
2208,,Sale at price 44.73 per share.,NATALI CHRIS,Officer,,2026-03-03,D,98764.0,PYPL
29581,,Sale at price 45.19 - 46.82 per share.,KELLER FRANK,Officer,,2026-03-03,D,1361370.0,PYPL
29656,,,MILLER JAMIE S,Chief Operating Officer,,2026-02-27,D,,PYPL
27610,,,SCOTTI DIEGO,Officer,,2026-02-27,D,,PYPL
27610,,,GILL MICHELLE,Officer,,2026-02-27,D,,PYPL
18407,,,WEBSTER AARON JAMES,Officer,,2026-02-27,D,,PYPL
27610,,,KEREERE SUZAN,Officer,,2026-02-27,D,,PYPL
4501,,,NATALI CHRIS,Officer,,2026-02-27,D,,PYPL
32783,,Stock Award(Grant) at price 0.00 per share.,KELLER FRANK,Officer,,2026-02-27,D,0.0,PYPL
33402,,,KELLER FRANK,Officer,,2026-02-27,D,,PYPL
37613,,Sale at price 41.45 - 41.67 per share.,KEREERE SUZAN,Officer,,2026-02-18,D,1560409.0,PYPL
1213,,Sale at price 40.49 per share.,NATALI CHRIS,Officer,,2026-02-17,D,49114.0,PYPL
69725,,,KEREERE SUZAN,Officer,,2026-02-13,D,,PYPL
3478,,Sale at price 40.20 per share.,KELLER FRANK,Officer,,2026-02-06,D,139816.0,PYPL
2085,,Stock Award(Grant) at price 0.00 per share.,DORMAN DAVID WYATT,Director,,2026-02-02,D,0.0,PYPL
8588,,,SCOTTI DIEGO,Officer,,2026-01-15,D,,PYPL
23281,,,CHRISS JAMES ALEXANDER,Chief Executive Officer,,2026-01-15,D,,PYPL
8523,,,WEBSTER AARON JAMES,Officer,,2026-01-15,D,,PYPL
2726,,,NATALI CHRIS,Officer,,2026-01-15,D,,PYPL
1639,,,KELLER FRANK,Officer,,2026-01-15,D,,PYPL
1892,,Stock Award(Grant) at price 0.00 per share.,STANLEY DEIRDRE,Director,,2026-01-02,D,0.0,PYPL
2881,,Stock Award(Grant) at price 0.00 per share.,LORES ENRIQUE J,Director,,2026-01-02,D,0.0,PYPL
2150,,Stock Award(Grant) at price 0.00 per share.,DORMAN DAVID WYATT,Director,,2026-01-02,D,0.0,PYPL
12004,,,MILLER JAMIE S,Chief Operating Officer,,2025-12-15,D,,PYPL
